City,Latitude,Longitude,State,Region
Modesto,37.78N,120.00W,California,West
Montgomery,32.95N,87.13W,Alabama,South
Moreno Valley,34.56N,116.76W,California,West
Naperville,40.99N,87.34W,Indiana,Midwest
Nashville,36.17N,87.51W,Tennessee,South
New Haven,40.99N,72.43W,New York,Northeast
New Orleans,29.74N,90.46W,Louisiana,South
New York,40.99N,74.56W,New Jersey,Northeast
Newark,40.99N,74.56W,New Jersey,Northeast
Newport News,37.78N,77.29W,Virginia,South
Nogales,31.35N,111.20W,Arizona,West
Norfolk,36.17N,75.58W,North Carolina,South
Norman,34.56N,97.30W,Oklahoma,South
North Las Vegas,36.17N,115.36W,Nevada,West
Norwalk,34.56N,118.70W,California,West
Nuevo Laredo,28.13N,99.09W,Texas,South
Oakland,37.78N,122.03W,California,West
Oceanside,32.95N,117.77W,California,West
Oklahoma City,36.17N,97.46W,Oklahoma,South
Olathe,39.38N,95.72W,Kansas,Midwest
Omaha,40.99N,95.86W,Nebraska,Midwest
Ontario,34.56N,116.76W,California,West
Orange,32.95N,117.77W,California,West
Orlando,28.13N,80.91W,Florida,South
Overland Park,39.38N,93.64W,Missouri,Midwest
Oxnard,34.56N,118.70W,California,West
Palmdale,34.56N,118.70W,California,West
Paradise,36.17N,115.36W,Nevada,West
Pasadena,34.56N,118.70W,California,West
Pasadena,29.74N,96.00W,Texas,South
Paterson,40.99N,74.56W,New Jersey,Northeast
Pembroke Pines,26.52N,80.60W,Florida,South
Peoria,40.99N,89.47W,Illinois,Midwest
Peoria,32.95N,112.02W,Arizona,West
Philadelphia,39.38N,74.91W,New Jersey,Northeast
Phoenix,32.95N,112.02W,Arizona,West
Pittsburgh,40.99N,80.95W,Ohio,Midwest
Plano,32.95N,96.70W,Texas,South
Pomona,34.56N,118.70W,California,West
Port Saint Lucie,26.52N,80.60W,Florida,South
Portland,45.81N,123.46W,Oregon,West
Providence,42.59N,72.00W,Massachusetts,Northeast
Provo,39.38N,112.37W,Utah,West
Pueblo,37.78N,103.73W,Colorado,West
Raleigh,36.17N,79.56W,North Carolina,South
Rancho Cucamonga,34.56N,116.76W,California,West
Reno,39.38N,120.69W,California,West
Rialto,34.56N,116.76W,California,West
Richardson,32.95N,96.70W,Texas,South
Richmond,37.78N,77.29W,Virginia,South
Richmond,37.78N,122.03W,California,West
Riverside,34.56N,116.76W,California,West
Rochester,42.59N,78.55W,New York,Northeast
Rockford,42.59N,89.45W,Wisconsin,Midwest
Roseville,39.38N,120.69W,California,West
Sacramento,37.78N,122.03W,California,West
Saint Louis,39.38N,89.48W,Illinois,Midwest
Saint Paul,45.81N,93.46W,Minnesota,Midwest
Saint Petersburg,28.13N,82.73W,Florida,South
Salem,44.20N,122.98W,Oregon,West
Salinas,36.17N,121.33W,California,West
Salt Lake City,40.99N,112.90W,Utah,West
San Antonio,29.74N,97.85W,Texas,South
San Bernardino,34.56N,116.76W,California,West
San Diego,32.95N,117.77W,California,West
San Francisco,37.78N,122.03W,California,West
San Jose,37.78N,122.03W,California,West
Santa Ana,32.95N,117.77W,California,West
Santa Clara,37.78N,122.03W,California,West
Santa Clarita,34.56N,118.70W,California,West
Santa Rosa,37.78N,122.03W,California,West
Savannah,31.35N,81.05W,Georgia,South
Scottsdale,32.95N,112.02W,Arizona,West
Seattle,47.42N,121.97W,Washington,West
Shreveport,32.95N,92.87W,Louisiana,South
Simi Valley,34.56N,118.70W,California,West
Sioux Falls,44.20N,96.15W,Minnesota,Midwest
South Bend,40.99N,85.21W,Indiana,Midwest
Spokane,47.42N,117.24W,Washington,West
Spring Valley,36.17N,115.36W,Nevada,West
Springfield,42.59N,72.00W,Massachusetts,Northeast
Springfield,39.38N,89.48W,Illinois,Midwest
Springfield,37.78N,93.56W,Missouri,Midwest
Stamford,40.99N,74.56W,New Jersey,Northeast
Sterling Heights,42.59N,82.91W,Michigan,Midwest
Stockton,37.78N,122.03W,California,West
Sunnyvale,37.78N,122.03W,California,West
Sunrise Manor,36.17N,115.36W,Nevada,West
Syracuse,42.59N,76.36W,New York,Northeast
Tacoma,47.42N,121.97W,Washington,West
Tallahassee,29.74N,84.92W,Florida,South
Tampa,28.13N,82.73W,Florida,South
Tempe,32.95N,112.02W,Arizona,West
Thornton,39.38N,104.05W,Colorado,West
Thousand Oaks,34.56N,118.70W,California,West
Toledo,40.99N,83.08W,Ohio,Midwest
Toms River,39.38N,74.91W,New Jersey,Northeast
Topeka,39.38N,95.72W,Kansas,Midwest
Torrance,34.56N,118.70W,California,West
Tucson,31.35N,111.20W,Arizona,West
Tulsa,36.17N,95.47W,Oklahoma,South
Vallejo,37.78N,122.03W,California,West
Vancouver,45.81N,123.46W,Oregon,West
Virginia Beach,36.17N,75.58W,North Carolina,South
Visalia,36.17N,119.34W,California,West
Waco,31.35N,98.01W,Texas,South
Warren,42.59N,82.91W,Michigan,Midwest
Washington,39.38N,76.99W,Maryland,South
Waterbury,40.99N,72.43W,New York,Northeast
West Covina,34.56N,118.70W,California,West
West Jordan,40.99N,112.90W,Utah,West
West Valley City,40.99N,112.90W,Utah,West
Westminster,39.38N,104.05W,Colorado,West
Wichita,37.78N,97.63W,Kansas,Midwest
Wichita Falls,34.56N,99.24W,Oklahoma,South
Windsor,42.59N,82.91W,Michigan,Midwest
Winston Salem,36.17N,79.56W,North Carolina,South
Worcester,42.59N,72.00W,Massachusetts,Northeast
Yonkers,40.99N,74.56W,New Jersey,Northeast
